Year,Consented dwellings,Constructed dwellings,Household growth,
1991,,,,
1992,539,,,
1993,439,,,
1994,404,,,
1995,444,,,
1996,368,,,
1997,252,,50,
1998,157,,121,
1999,150,,85,
2000,223,,85,
2001,186,,84,
2002,231,,330,
2003,280,,258,
2004,441,,258,
2005,372,,149,
2006,412,,113,
2007,455,,11,
2008,381,,83,
2009,213,,230,
2010,351,190,340,
2011,279,244,415,
2012,326,267,304,
2013,375,265,156,
2014,384,331,431,
2015,348,391,541,
2016,351,343,577,
2017,460,335,465,
2018,424,358,390,
2019,438,369,405,
2020,423,354,663,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
2025,,,,
2026,,,,
2027,,,,
2028,,,,
2029,,,,
2030,,,,
2031,,,,
2032,,,,
2033,,,,
2034,,,,
2035,,,,
2036,,,,
2037,,,,
2038,,,,
