Year,CCCd Dwellings,Consented Dwellings,Projected Dwellings
1991,,540,
1992,,450,
1993,,450,
1994,,417,
1995,,428,
1996,,282,
1997,,208,
1998,,122,
1999,,227,
2000,,192,
2001,,191,
2002,,238,
2003,,378,
2004,,380,
2005,,424,
2006,,456,
2007,,416,
2008,,284,
2009,,272,
2010,218,356,
2011,282,236,
2012,262,379,
2013,284,375,
2014,404,382,
2015,337,320,
2016,340,425,487.8
2017,355,454,487.8
2018,360,442,487.8
2019,390,439,487.8
2020,,,487.8
2021,,,487.8
2022,,,487.8
2023,,,487.8
2024,,,397
2025,,,397
2026,,,397
2027,,,397
2028,,,397
2029,,,348
2030,,,348
2031,,,348
2032,,,348
2033,,,348
2034,,,278
2035,,,278
2036,,,278
2037,,,278
2038,,,278
2039,,,26.6
2040,,,26.6
2041,,,26.6
2042,,,26.6
2043,,,26.6
2044,,,26.68671135
2045,,,26.68671135
2046,,,26.68671135
2047,,,26.68671135
2048,,,26.68671135
