YearOne,YearTwo,YearThree,GrowthofAverageRentalCosts,Rentalaffordabilityindex,HousePriceGrowth,Housingaffordabilityindex,GrowthofAverageRentalCosts_NZ,Rentalaffordabilityindex_NZ,HousePriceGrowth_NZ,Housingaffordabilityindex_NZ
2001,,,0.023,0.283,,,0.013,0.296,,
2002,,,0.016,0.282,,,0.028,0.298,,
2003,,,0.067,0.292,,,0.068,0.315,,
2004,,,0.121,0.303,,,0.077,0.322,,
2005,,,0.116,0.321,,,0.056,0.323,,
2006,,2006,0.023,0.299,0.089728377,,0.041,0.321,0.122063638,
2007,2007,2007,-0.003,0.296,0.089669372,,0.052,0.327,0.117179515,
2008,2008,2008,0.049,0.292,-0.008848239,6.7,0.066,0.329,0.028455806,9.2
2009,2009,2009,0.046,0.292,-0.077049138,5.8,0.039,0.32,-0.090975794,8
2010,2010,2010,0.031,0.282,0.068354883,6,0.005,0.317,0.062579134,8.3
2011,2011,2011,0.035,0.308,-0.026774195,5.9,0.031,0.32,-0.015187624,7.9
2012,2012,2012,0.058,0.292,0.02067988,5.8,0.031,0.32,0.031962895,7.9
2013,2013,2013,0.038,0.302,0.043759474,5.8,0.041,0.323,0.077293046,8.3
2014,2014,2014,0.019,0.309,0.017625585,5.8,0.037,0.329,0.077912537,8.8
2015,2015,2015,0.033,0.307,0.010948969,5.6,0.04,0.333,0.090751901,9.3
2016,2016,2016,0.028,0.309,0.108387538,6.1,0.047,0.336,0.129030081,10.1
2017,2017,2017,0.027,0.315,0.146553785,6.8,0.048,0.345,0.119678194,11.2
2018,2018,2018,0.055,0.307,0.092165608,7.2,0.045,0.351,0.03755244,11.2
2019,2019,2019,,0.321,0.13367054,7.9,,0.357,0.018027542,11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
