Suburb,TotalDwellings2002,TotalDwellings2003,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,TotalDwellings2017,TotalDwellings2018,TotalDwellings2019,TotalDwellings2020,Houses2002,Houses2003,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Houses2017,Houses2018,Houses2019,Houses2020,Units2002,Units2003,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Units2017,Units2018,Units2019,Units2020,Apartments2002,Apartments2003,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Apartments2017,Apartments2018,Apartments2019,Apartments2020,Retirement Village Units2002,Retirement Village Units2003,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,Retirement Village Units2017,Retirement Village Units2018,Retirement Village Units2019,Retirement Village Units2020,ConstructionValue2002,ConstructionValue2003,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016,ConstructionValue2017,ConstructionValue2018,ConstructionValue2019,ConstructionValue2020
Andersons Bay/Waverley,6,9,20,17,17,16,10,8,5,4,3,13,8,10,14,14,18,28,12,6,9,18,17,15,13,10,6,5,4,3,4,8,10,14,14,18,20,11,0,0,2,0,2,3,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622255,5099550,7007549,6883801,7882536,8958558,4708681,5755522,4763960,2813390,2820780,4710024,9517955,5882000,8824550,9595679,10947700,16007300,9068500
Blueskin Bay,6,14,11,14,16,8,9,10,8,5,3,10,8,10,11,11,11,15,13,5,12,10,14,14,8,9,10,8,5,2,10,8,9,11,11,11,14,11,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110150,3583074,3343863,4888260,5155348,3466393,4556899,3801695,3704187,2310249,2293180,4360650,4252318,5520300,6862500,5142055,6321400,6348200,6796900
Caversham,0,3,3,7,4,5,2,2,12,3,2,2,0,2,2,7,3,3,8,0,1,2,4,4,4,2,2,4,1,2,0,0,2,2,7,1,1,5,0,2,1,3,0,1,0,0,8,2,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876999,3260638,496245,1465924,907550,1300647,953197,994799,2189260,4907317,706446,888900,1562800,830400,1561350,3102745,3050000,750500,2977000
Concord/Corstophine/Kew,2,7,5,18,16,7,6,7,3,7,10,6,9,7,23,20,22,14,6,2,7,5,18,16,7,5,6,3,7,10,6,9,7,23,20,16,12,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544538,1472421,1525860,4673199,5375031,2950387,1947158,2526986,1898150,2125119,2303765,5172494,3869925,2652900,8490700,7180800,7743400,8526800,4810500
Fairfield,17,23,25,38,28,16,7,11,4,2,1,5,4,4,9,8,5,7,9,17,23,25,34,28,16,7,11,4,2,1,5,4,4,9,8,5,7,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3659174,6038315,6717396,8760050,8337298,5830676,2629600,5004280,2227456,1269099,1060100,2238651,3905150,2551349,5253500,4587800,2914900,5646100,7559300
Green Island/Abbotsford,6,9,9,11,10,6,7,9,20,9,28,32,31,29,26,15,15,15,31,6,9,7,6,10,5,6,3,20,9,26,32,31,29,26,14,15,15,31,0,0,2,5,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868096,3304703,2691373,3461329,4785064,3043006,4209300,9737471,10447487,5288080,8303993,11425738,11846838,13858850,10853400,6511950,9674400,10663600,11815000
Helensburgh/Balmacewen,1,3,8,5,7,3,2,1,3,4,1,2,1,2,5,1,1,1,4,1,3,8,5,3,3,2,1,3,4,1,2,1,2,5,1,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391280,1358883,2812300,3314300,7095099,1691000,1599100,473760,1153449,5651411,738400,1262950,1842350,1817000,3211900,2242600,1180000,763500,3743000
Inner City,28,25,33,21,69,25,14,19,29,17,24,34,17,22,38,47,34,38,28,4,5,5,2,6,7,2,5,3,5,9,2,7,6,5,1,2,1,4,7,14,11,17,11,6,4,7,22,12,15,7,7,6,12,8,26,6,6,17,6,17,2,52,12,8,7,4,0,0,25,3,10,21,38,6,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17798036,41262905,39414917,34505490,31529001,52613849,46533374,42115991,79201266,41184131,45197629,32840132,48209940,36730155,39265000,40043300,36189300,48484430,39872500
Leith Valley,5,8,14,3,6,5,3,0,1,2,5,7,5,2,2,4,7,14,3,4,8,12,1,3,4,3,0,1,2,5,7,5,2,2,4,5,11,3,1,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433000,2064590,3892800,1326200,1729200,1312000,1161400,856397,608079,652595,2212200,1927463,1745504,1360800,1236600,2227500,3020500,5140000,2439000
Maori Hill,4,6,3,9,3,3,3,2,40,1,2,6,4,1,2,1,4,15,3,4,6,3,9,3,3,2,1,5,1,2,6,3,1,2,1,4,4,2,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3581326,3895764,6125899,8801880,5873072,11118321,5778717,4193636,14149618,5867450,5919213,6918177,4469751,8569800,6114229,10882100,5775200,14802700,17720750
