Year,TotalDwellingsAndersons Bay/Waverley,TotalDwellingsBlueskin Bay,TotalDwellingsCaversham,TotalDwellingsConcord/Corstophine/Kew,TotalDwellingsFairfield,TotalDwellingsGreen Island/Abbotsford,TotalDwellingsHelensburgh/Balmacewen,TotalDwellingsInner City,TotalDwellingsLeith Valley,TotalDwellingsMaori Hill,TotalDwellingsMornington,TotalDwellingsMosgiel,TotalDwellingsMusselburgh/Tainui,TotalDwellingsNorth East Valley,TotalDwellingsOuter Peninsula,TotalDwellingsOutram/Momona,TotalDwellingsPeninsula,TotalDwellingsPine Hill,TotalDwellingsPort Chalmers/Purakaunui,TotalDwellingsRoslyn/Belleknowes,TotalDwellingsSouth Coast,TotalDwellingsSouth Dunedin,TotalDwellingsSt Clair,TotalDwellingsSt Kilda,TotalDwellingsStrath Taieri,TotalDwellingsTaieri,TotalDwellingsThree Mile Hill,TotalDwellingsUniversity,TotalDwellingsWaikouaiti/Karitane,TotalDwellingsWakari,TotalDwellingsWest Harbour,HousesAndersons Bay/Waverley,HousesBlueskin Bay,HousesCaversham,HousesConcord/Corstophine/Kew,HousesFairfield,HousesGreen Island/Abbotsford,HousesHelensburgh/Balmacewen,HousesInner City,HousesLeith Valley,HousesMaori Hill,HousesMornington,HousesMosgiel,HousesMusselburgh/Tainui,HousesNorth East Valley,HousesOuter Peninsula,HousesOutram/Momona,HousesPeninsula,HousesPine Hill,HousesPort Chalmers/Purakaunui,HousesRoslyn/Belleknowes,HousesSouth Coast,HousesSouth Dunedin,HousesSt Clair,HousesSt Kilda,HousesStrath Taieri,HousesTaieri,HousesThree Mile Hill,HousesUniversity,HousesWaikouaiti/Karitane,HousesWakari,HousesWest Harbour,UnitsAndersons Bay/Waverley,UnitsBlueskin Bay,UnitsCaversham,UnitsConcord/Corstophine/Kew,UnitsFairfield,UnitsGreen Island/Abbotsford,UnitsHelensburgh/Balmacewen,UnitsInner City,UnitsLeith Valley,UnitsMaori Hill,UnitsMornington,UnitsMosgiel,UnitsMusselburgh/Tainui,UnitsNorth East Valley,UnitsOuter Peninsula,UnitsOutram/Momona,UnitsPeninsula,UnitsPine Hill,UnitsPort Chalmers/Purakaunui,UnitsRoslyn/Belleknowes,UnitsSouth Coast,UnitsSouth Dunedin,UnitsSt Clair,UnitsSt Kilda,UnitsStrath Taieri,UnitsTaieri,UnitsThree Mile Hill,UnitsUniversity,UnitsWaikouaiti/Karitane,UnitsWakari,UnitsWest Harbour,ApartmentsAndersons Bay/Waverley,ApartmentsBlueskin Bay,ApartmentsCaversham,ApartmentsConcord/Corstophine/Kew,ApartmentsFairfield,ApartmentsGreen Island/Abbotsford,ApartmentsHelensburgh/Balmacewen,ApartmentsInner City,ApartmentsLeith Valley,ApartmentsMaori Hill,ApartmentsMornington,ApartmentsMosgiel,ApartmentsMusselburgh/Tainui,ApartmentsNorth East Valley,ApartmentsOuter Peninsula,ApartmentsOutram/Momona,ApartmentsPeninsula,ApartmentsPine Hill,ApartmentsPort Chalmers/Purakaunui,ApartmentsRoslyn/Belleknowes,ApartmentsSouth Coast,ApartmentsSouth Dunedin,ApartmentsSt Clair,ApartmentsSt Kilda,ApartmentsStrath Taieri,ApartmentsTaieri,ApartmentsThree Mile Hill,ApartmentsUniversity,ApartmentsWaikouaiti/Karitane,ApartmentsWakari,ApartmentsWest Harbour,Retirement Village UnitsAndersons Bay/Waverley,Retirement Village UnitsBlueskin Bay,Retirement Village UnitsCaversham,Retirement Village UnitsConcord/Corstophine/Kew,Retirement Village UnitsFairfield,Retirement Village UnitsGreen Island/Abbotsford,Retirement Village UnitsHelensburgh/Balmacewen,Retirement Village UnitsInner City,Retirement Village UnitsLeith Valley,Retirement Village UnitsMaori Hill,Retirement Village UnitsMornington,Retirement Village UnitsMosgiel,Retirement Village UnitsMusselburgh/Tainui,Retirement Village UnitsNorth East Valley,Retirement Village UnitsOuter Peninsula,Retirement Village UnitsOutram/Momona,Retirement Village UnitsPeninsula,Retirement Village UnitsPine Hill,Retirement Village UnitsPort Chalmers/Purakaunui,Retirement Village UnitsRoslyn/Belleknowes,Retirement Village UnitsSouth Coast,Retirement Village UnitsSouth Dunedin,Retirement Village UnitsSt Clair,Retirement Village UnitsSt Kilda,Retirement Village UnitsStrath Taieri,Retirement Village UnitsTaieri,Retirement Village UnitsThree Mile Hill,Retirement Village UnitsUniversity,Retirement Village UnitsWaikouaiti/Karitane,Retirement Village UnitsWakari,Retirement Village UnitsWest Harbour,ConstructionValueAndersons Bay/Waverley,ConstructionValueBlueskin Bay,ConstructionValueCaversham,ConstructionValueConcord/Corstophine/Kew,ConstructionValueFairfield,ConstructionValueGreen Island/Abbotsford,ConstructionValueHelensburgh/Balmacewen,ConstructionValueInner City,ConstructionValueLeith Valley,ConstructionValueMaori Hill,ConstructionValueMornington,ConstructionValueMosgiel,ConstructionValueMusselburgh/Tainui,ConstructionValueNorth East Valley,ConstructionValueOuter Peninsula,ConstructionValueOutram/Momona,ConstructionValuePeninsula,ConstructionValuePine Hill,ConstructionValuePort Chalmers/Purakaunui,ConstructionValueRoslyn/Belleknowes,ConstructionValueSouth Coast,ConstructionValueSouth Dunedin,ConstructionValueSt Clair,ConstructionValueSt Kilda,ConstructionValueStrath Taieri,ConstructionValueTaieri,ConstructionValueThree Mile Hill,ConstructionValueUniversity,ConstructionValueWaikouaiti/Karitane,ConstructionValueWakari,ConstructionValueWest Harbour,TotalDwellingsDunedin City Total,HousesDunedin City Total,UnitsDunedin City Total,ApartmentsDunedin City Total,Retirement Village UnitsDunedin City Total,ConstructionValueDunedin City Total,
2002,6,6,0,2,17,6,1,28,5,4,2,37,0,1,9,17,5,0,3,2,9,10,4,9,0,30,3,12,5,2,3,6,5,0,2,17,6,1,4,4,4,2,35,0,1,9,17,5,0,3,2,9,0,4,9,0,11,3,8,4,0,3,0,1,0,0,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,4,1,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622255,2110150,876999,544538,3659174,1868096,391280,17798036,1433000,3581326,1000383,7834350,560009,7544398,1874183,6205796,1925848,300017,2493750,1208650,2239848,3157679,1884049,1393170,202560,4653200,1706284,15916095,1791300,616000,1318752,238,174,47,17,0,100711175,
2003,9,14,3,7,23,9,3,25,8,6,6,54,1,9,7,30,12,4,5,1,23,2,9,12,1,19,7,54,7,2,6,9,12,1,7,23,9,3,5,8,6,6,36,1,7,7,29,12,3,5,1,23,2,7,12,1,19,7,7,6,2,5,0,2,2,0,0,0,0,14,0,0,0,18,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,44,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5099550,3583074,3260638,1472421,6038315,3304703,1358883,41262905,2064590,3895764,2090504,14006155,630547,3620721,1990786,8734108,3338094,854100,4051376,3606198,5232803,2249695,8346910,1778920,662402,6699852,10414334,22239769,2275654,2336663,2483307,378,281,88,9,0,178983741,
2004,20,11,3,5,25,9,8,33,14,3,8,56,7,8,8,32,11,4,9,3,22,2,6,9,0,23,2,18,13,1,7,18,10,2,5,25,7,8,5,12,3,8,35,3,5,8,32,10,4,8,3,22,2,6,3,0,23,2,7,13,1,5,2,1,1,0,0,2,0,11,2,0,0,18,4,3,0,0,1,0,1,0,0,0,0,6,0,0,0,11,0,0,2,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7007549,3343863,496245,1525860,6717396,2691373,2812300,39414917,3892800,6125899,2545365,18260444,1277799,3358298,2355875,13669640,4471879,1836738,2687270,1889300,6633052,2750599,2975500,4173700,532479,9300446,4537117,11657116,3250196,634275,2565495,380,295,65,20,0,175390785,
2005,17,14,7,18,38,11,5,21,3,9,5,62,4,15,6,29,12,2,8,2,38,6,1,3,1,32,8,24,16,0,7,17,14,4,18,34,6,5,2,1,9,5,46,1,9,6,29,12,2,7,2,38,4,1,1,1,30,8,3,15,0,6,0,0,3,0,4,5,0,17,2,0,0,10,3,0,0,0,0,0,1,0,0,2,0,2,0,2,0,19,1,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6883801,4888260,1465924,4673199,8760050,3461329,3314300,34505490,1326200,8801880,2319798,14357168,2183799,3755936,1702820,21072533,7138160,673037,3585840,3225699,9870880,7524495,1707926,4210980,788000,9708276,4148287,19907381,4074900,1289590,2639150,424,336,72,16,0,203965088,
2006,17,16,4,16,28,10,7,69,6,3,4,49,2,3,10,25,11,2,10,4,29,11,7,20,4,46,10,11,14,3,5,15,14,4,16,28,10,3,6,3,3,4,39,0,3,10,24,11,2,10,2,29,9,7,10,3,45,9,6,14,1,5,2,0,0,0,0,0,4,11,3,0,0,10,2,0,0,1,0,0,0,2,0,2,0,10,1,1,1,5,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7882536,5155348,907550,5375031,8337298,4785064,7095099,31529001,1729200,5873072,3416593,12857248,1895930,4950439,3263850,9566100,5943400,1203500,5581400,2803094,9322191,4582869,5107849,3570159,5726800,17961350,5760999,8931666,5660782,1400280,2776021,456,345,55,54,2,200951719,
2007,16,8,5,7,16,6,3,25,5,3,5,60,4,21,12,31,10,3,10,4,34,6,7,9,1,41,26,21,9,3,5,13,8,4,7,16,5,3,7,4,3,5,39,4,6,12,29,10,3,10,4,34,2,7,5,1,41,25,6,9,2,5,3,0,1,0,0,1,0,6,1,0,0,12,0,0,0,2,0,0,0,0,0,3,0,4,0,0,0,15,0,1,0,0,0,0,0,0,0,0,12,0,0,0,3,0,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8958558,3466393,1300647,2950387,5830676,3043006,1691000,52613849,1312000,11118321,2820247,16313841,9920451,11250098,4876550,11739735,5366499,1870500,3243732,2753847,10141255,2415300,11182140,1957868,1337825,16357523,7479362,14053404,4675149,1763653,2384598,416,329,49,32,6,236188414,
2008,10,9,2,6,7,7,2,14,3,3,3,52,8,7,14,20,19,3,6,2,17,8,4,8,3,17,7,8,9,3,3,10,9,2,5,7,6,2,2,3,2,2,29,4,6,11,17,19,3,5,2,17,7,4,3,3,17,6,3,7,3,3,0,0,0,1,0,1,0,4,0,1,1,23,4,1,3,3,0,0,1,0,0,1,0,5,0,0,1,5,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4708681,4556899,953197,1947158,2629600,4209300,1599100,46533374,1161400,5778717,2705658,13332204,2123814,6771483,3402970,10405226,6691594,1154750,4039050,2945790,5351330,4381530,4433634,2875279,1851314,16130639,6500983,40137700,7081000,2687187,2027390,284,219,56,9,0,221107951,
2009,8,10,2,7,11,9,1,19,0,2,6,39,2,8,6,14,11,4,7,4,21,6,1,6,1,27,10,10,9,4,7,6,10,2,6,11,3,1,5,0,1,6,25,0,8,6,13,11,3,7,3,20,1,1,4,1,27,10,7,9,4,6,2,0,0,1,0,0,0,7,0,1,0,14,2,0,0,1,0,1,0,1,1,5,0,2,0,0,0,3,0,0,1,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5755522,3801695,994799,2526986,5004280,9737471,473760,42115991,856397,4193636,3181419,33008881,4535209,5286450,2389650,8347802,4919642,1109350,4356690,2234110,8529714,4220450,2311388,1922153,1513282,7900190,5168310,93650666,3203600,1706800,2814409,272,217,42,13,0,277770702,
2010,5,8,12,3,4,20,3,29,1,40,4,31,4,18,2,21,12,1,4,5,11,9,7,6,0,51,11,18,5,3,8,5,8,4,3,4,20,3,3,1,5,3,21,4,5,2,21,12,1,4,5,11,2,7,4,0,51,10,13,5,2,8,0,0,8,0,0,0,0,22,0,3,1,10,0,1,0,0,0,0,0,0,0,6,0,2,0,0,1,5,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4763960,3704187,2189260,1898150,2227456,10447487,1153449,79201266,608079,14149618,2242387,13240891,12143513,5547161,3303083,9858599,4364940,622764,1879039,3074145,4122050,3178248,4958822,2271100,531999,14034160,6706153,91240790,1987033,1408600,3177281,356,247,60,17,32,310235670,
2011,4,5,3,7,2,9,4,17,2,1,1,31,1,17,3,8,12,0,2,10,12,4,4,4,3,25,3,17,13,2,10,4,5,1,7,2,9,4,5,2,1,1,14,1,3,1,8,11,0,2,10,12,4,4,1,3,25,3,6,11,2,10,0,0,2,0,0,0,0,12,0,0,0,6,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813390,2310249,4907317,2125119,1269099,5288080,5651411,41184131,652595,5867450,1166449,9836452,5410194,3985167,636178,5385705,5339549,345478,2004021,3832173,4211299,6728314,3266290,1935750,1439349,8677710,13959450,23296760,5048689,1663458,3800302,236,172,39,25,0,184037578,
